Type	ID	Name
0	1	CKServiceManager
0	2	CKGraphic
0	3	CKSoundManager
0	4	CKInput
0	5	CKSoundOutputEffect
1	1	CKServiceLife
1	2	CKSrvCollision
1	3	CKSrvCamera
1	4	CKSrvCinematic
1	6	CKSrvPathFinding
1	7	CKSrvBonus
1	9	CKSrvAvoidance
1	10	CKSrvSekensor
1	11	CKSrvBeacon
1	12	CKSrvShadow
1	13	CKSrvProjectiles
1	14	CKSrvFx
1	15	CKSrvPhysics
1	17	CKSrvCounter
1	18	CKSrvTrigger
1	19	CKSrvDetect
1	20	CKSrvMusic
1	24	CKSrvNetwork
1	27	CKSrvInput
2	3	CKHkLightRay
2	4	CKHkLightReceptacle
2	5	CKHkFixedMirror
2	8	CKHkOrientableMirror
2	12	CKHkPushStack
2	13	CKHkPressionStoneGroup
2	21	CKHkPressionStone
2	22	CKCameraBeacon
2	24	CKHkSavePoint
2	25	CKHkA3Enemy
2	29	CKHkBar
2	33	CKHkPushObstacle
2	35	CKHkPushStackType1
2	36	CKHkPushStackType2
2	45	CKHkButterflyBridge
2	53	CKHkPushKillObject
2	61	CKHkTrackerManager
2	64	CKHkLinkedBeacon
2	67	CKHkA3BurriedBonus
2	73	CKHkScrapShower
2	77	CKHkA3Compass
2	86	CKHkLedge
2	88	CKHkHeroBall
2	91	CKHkHeroBallSpawner
2	101	CKHkDoor
2	102	CKHkCrumblyZone
2	104	CKHkHeroActivator
2	107	CKHkPxObject
2	114	CKHkBasicBonus
2	117	CKHkA3Hero
2	118	CKHkA3StepPlatformAirlock
2	119	CKHkA3BirdZone
2	120	CKHkA3Bird
2	121	CKHkA3BirdCage
2	122	CKHkEnemyTarget
2	124	CKHkA3SoundActivator
2	126	CKHkCounterWithDisplay
2	127	CKHkA3PotionSpawner
2	128	CKHkOlympicGameFrog
2	129	CKHkFrogBall
2	130	CKHkCrapombeBall
2	131	CKHkBonusDistributor
2	133	CKHkOlympicGameChar
2	134	CKHkChar
2	135	CKHkOlympicGameArena
2	136	CKHkLaunchQuakeCamera
2	137	CKHkOlympicGameJump
2	138	CKHkMoss
2	139	CKHkA3Moss
2	140	CKHkOlympicGameJavelin
2	141	CKHkOlympicGameRope
2	142	CKHkOlympicGameHammer
2	143	CKHkOlympicGameRace
2	144	CKHkOlympicGameMusicalFight
2	145	CKHkA3SeparationManager
2	146	CKHkA3DDR
2	149	CKHkA3PassManager
2	158	CKHkTelepher
2	159	CKHkTelepherTowed
2	208	CKHkMovableCharacter
2	230	CKHkCrumblyZoneAnimated
2	231	CKHkDynamicObject
2	233	CKHkPlatform
2	234	CKHkWeatherCenter
2	251	CKHkParticlesSequencer
2	256	CKHkRollingBarrel
2	257	CKHkFoldawayBridge
4	1	CKGroupRoot
4	8	CKGrpStorage
4	9	CKGrpPushStack
4	16	CKGrpA3BurriedBonus
4	24	CKGrpSquad
4	31	CKGrpA3BonusPool
4	32	CKGrpA3Hero
4	33	CKGrpA3Meca
4	34	CKGrpA3BirdCage
4	35	CKGrpA3LevelPotion
4	44	CKGrpPoolSquad
4	61	CKGrpBonusPool
4	89	CKGrpLevelManager
4	92	CKGrpBonus
4	94	CKGrpA3Enemy
4	95	CKGrpFightZone
4	98	CKGrpMecaLast
4	99	CKCommonBaseGroup
4	100	CKFightZoneSectorGrpRoot
6	3	CKCrumblyZoneCpnt
6	6	CKEnemyCpnt
6	7	CKLightMecaCpnt
6	12	CKSavePointCpnt
6	14	CKEnemySectorCpnt
6	17	CKPathStepCpnt
6	18	CKShadowCpnt
6	21	CKBurriedBonusCpnt
6	22	CKBonusCpnt
6	23	CKScrapShowerCpnt
6	25	CKParticlesCpnt
6	26	CKBonusData
6	30	CKHeroBallSpawnerCpnt
6	32	CKImpulsionCpnt
6	34	CKSinCurve2DCpnt
6	35	CKPathFindingCpnt
6	36	CKA3EnemyCpnt
6	38	CKQuakeCpntUpdater
6	39	CKWeatherPreset
6	42	CKQuakeCameraLauncher
6	43	CKMecaCpnt
6	45	CKBonusSpitterCpnt
6	50	CKParticlesSequencerCpnt
6	53	CKSekensLauncherCpnt
6	54	CKRollingBarrelCpnt
6	56	CKA3FightZoneCpnt
6	57	CKLocTextAccessor
6	65	CKTelepherTowedCpnt
6	68	CKA3HeroTwisterCpnt
6	363	CKCurve2DCpnt
7	1	CKCamera
7	2	CKCameraRigidTrack
7	4	CKCameraPathTrack
7	6	CKCameraFixTrack
7	7	CKCameraAxisTrack
7	8	CKCameraSpyTrack
7	10	CKCameraPassivePathTrack
7	11	CKCameraBalistTrack
7	12	CKCameraClassicTrack2
7	15	CKCameraFirstPersonTrack
8	1	CKLogicalAnd
8	2	CKLogicalOr
8	3	CKPlayAnimCinematicBloc
8	4	CKPathFindingCinematicBloc
8	5	CKFlaggedPathCinematicBloc
8	7	CKGroupBlocCinematicBloc
8	9	CKAttachObjectsCinematicBloc
8	12	CKParticleCinematicBloc
8	17	CKStartDoor
8	20	CKSekensorCinematicBloc
8	22	CKDisplayPictureCinematicBloc
8	23	CKManageCameraCinematicBloc
8	25	CKStartEventCinematicBloc
8	27	CKLightningCinematicBloc
8	28	CKPlaySoundCinematicBloc
8	29	CKPauseCinematicBloc
8	30	CKTeleportCinematicBloc
8	31	CKEndDoor
8	34	CKPlayVideoCinematicBloc
8	35	CKFlashUICinematicBloc
8	36	CKLockUnlockCinematicBloc
9	1	CAnimationDictionary
9	2	CTextureDictionary
9	3	CKSoundDictionary
9	4	CKSoundDictionaryID
10	1	CParticleGeometry
10	2	CGeometry
10	3	CSkinGeometry
11	1	CSGRootNode
11	2	CSGSectorRoot
11	3	CNode
11	4	CSGAnchor
11	5	CSGMovable
11	6	CKDynBSphereProjectile
11	7	CKDynamicAABB
11	8	CSGLeaf
11	9	CSGBranch
11	10	CSGBkgRootNode
11	11	CGlowNodeFx
11	12	CClone
11	14	CKBoundingSphere
11	15	CKDynamicBoundingSphere
11	17	CKAABB
11	18	CKOBB
11	19	CParticlesNodeFx
11	21	CAnimatedNode
11	22	CAnimatedClone
11	24	CKAACylinder
11	26	CFogBoxNodeFx
11	27	CTrailNodeFx
11	32	CSGLight
11	33	CCloudsNodeFx
11	34	CZoneNode
11	35	CSpawnNode
11	36	CSpawnAnimatedNode
12	1	CKGameLoop
12	2	CKPFGraphTransition
12	3	CKBundle
12	4	CKSector
12	5	CKLevel
12	6	CKSavingManager
12	7	CKLoadingManager
12	8	CKCameraSector
12	9	CKCoreManager
12	10	CKBlurFxData
12	11	CKSpline4
12	12	CKBlurNodeFx
12	14	CCollisionMesh
12	15	CKChoreoKey
12	16	CKPFGraphNode
12	17	CKSas
12	18	CGround
12	19	CDynamicGround
12	20	CWall
12	21	CDynamicWall
12	23	CKFlaggedPath
12	27	CKChoreography
12	30	CKLine
12	31	CKSpline4L
12	37	CKCinematicScene
12	41	CLightComponent
12	42	CKCinematicSceneData
12	51	CKVibrationData
12	59	CLocManager
12	60	CKHDRFxData
12	61	CKSekens
12	62	CKHDRNodeFx
12	66	CKMeshKluster
12	68	CColorizedScreenData
12	70	CKRollingBarrelPool
12	73	CKBeaconKluster
12	77	CKProjectileTypeScrap
12	80	CKProjectileTypeBallisticPFX
12	87	CKFlashNode2dFx
12	89	CKElectricArcNodeFx
12	92	CKFlashFxData
12	93	CKElectricArcFxData
12	94	CKQuadNodeFx
12	95	CKQuadFxData
12	97	CKDefaultPlayer
12	99	CKQuadTreeRoot
12	100	CKQuadTreeLeaf
12	101	CKLightningObjectNodeFx
12	102	CKLightningObjectFxData
12	103	CKFilterNode2dFx
12	104	CKFilterFxData
12	105	CKExplosionNodeFx
12	106	CKExplosionFxData
12	107	CKQuadTreeBranch
12	111	CKGameVideo
12	114	CKA3GameBirdCluster
12	115	CKA3GameBirdZone
12	117	CKProjectileTypeSplineLock
12	120	CKProjectileAccessor
12	127	CKParticlesEffectNodeFx
12	131	CKParticlesEffectFxData
12	135	CKTimeCounter
12	136	CKIntegerCounter
12	139	CKCombiner
12	140	CKComparator
12	141	CKComparedData
12	142	CKTrigger
12	145	CKSparkNodeFx
12	146	CKProjectileTypeTargetLock
12	147	CKSparkFxData
12	151	CKSpark
12	153	CKTimeScalingFxData
12	156	CKDetectorBase
12	157	CKSectorDetector
12	158	CMultiGeometry
12	159	CKTimeScalingNodeFx
12	160	CKDetectorEvent
12	161	CKDetectedMovable
12	163	CKTriggerDomain
12	164	CKProjectileTypeFromExplosion
12	171	CKSound
12	173	CSGHotSpot
12	175	CMaterial
12	176	CKSrvFxParticlesAccessor
12	177	CKHedgeHopTrailNodeFx
12	180	CKBonusConfigTypeCone
12	181	CKHedgeHopTrailFxData
12	183	CKFlashStartEventEvent
12	184	CKBomb
12	185	CKFlashPlaySoundEvent
12	187	CKMusicPlayList
12	188	CKSandal
12	189	CKDetectorMusic
12	190	CKBonusConfigTypeStar
12	192	CKHkMoveCpnt
12	195	CKShockWaveNodeFx
12	196	CKShockWaveFxData
12	197	CMultiGeometryBasic
12	198	CKGameSpawnPoint
12	203	CKGameState
12	205	CKGameModule
12	206	CKFireBallFxData
12	207	CKFireBallNodeFx
12	212	CKLensFlareFxData
12	214	CKMarkerBeacon
12	217	CKQuakeCpnt
12	220	CKLensFlareNodeFx
12	227	CKDistortionNodeFx
12	229	CKDistortionFxData
12	233	CKCameraFogDatas
12	238	CKWaterWaveFxData
12	239	CKWaterWaveNodeFx
12	240	CKWaterSplashFxData
12	241	CKWaterSplashNodeFx
