Type	ID	Name
0	1	CKServiceManager
0	2	CKGraphic
0	3	CKSoundManager
0	4	CKInput
1	1	CKServiceLife
1	2	CKSrvCollision
1	3	CKSrvCamera
1	4	CKSrvCinematic
1	5	CKSrvEvent
1	6	CKSrvPathFinding
1	7	CKSrvDetection
1	8	CKSrvMarker
1	9	CKSrvAvoidance
1	10	CKSrvSekensor
1	11	CKSrvBeacon
1	12	CKSrvShadow
1	13	CKSrvProjectiles
1	14	CKSrvFx
2	21	CKHkPressionStone
2	28	CKHkAsterix
2	29	CKHkObelix
2	30	CKHkIdefix
2	31	CKHkMachinegun
2	32	CKHkTorch
2	33	CKHkHearth
2	34	CKHkDrawbridge
2	37	CKHkMegaAshtray
2	39	CKHkBoat
2	44	CKHkCorkscrew
2	45	CKHkTurnstile
2	47	CKHkLifter
2	52	CKHkActivator
2	57	CKHkRotaryBeam
2	60	CKHkLightPillar
2	73	CKHkWind
2	75	CKHkJumpingRoman
2	76	CKHkWaterJet
2	77	CKHkPowderKeg
2	90	CKHkTriangularTurtle
2	93	CKHkBasicEnemy
2	95	CKHkRomanArcher
2	97	CKHkAnimatedCharacter
2	98	CKHkSwingDoor
2	100	CKHkSlideDoor
2	102	CKHkCrumblyZone
2	108	CKHkHelmetCage
2	110	CKHkSquareTurtle
2	111	CKHkTeleBridge
2	112	CKHkCrate
2	114	CKHkBasicBonus
2	124	CKHkDonutTurtle
2	125	CKHkPyramidalTurtle
2	126	CKHkRollingStone
2	128	CKHkInterfaceBase
2	129	CKHkInterfaceEvolution
2	130	CKHkCatapult
2	131	CKHkInterfacePause
2	132	CKHkInterfaceInGame
2	133	CKHkInterfaceOption
2	136	CKHkInterfaceMain
2	138	CKHkInterfaceLoadSave
2	141	CKHkInterfaceCloth
2	144	CKHkInterfaceShop
2	147	CKHkPushPullAsterix
2	148	CKHkBasicEnemyLeader
2	158	CKHkTelepher
2	159	CKHkTowedTelepher
2	160	CKHkBumper
2	161	CKHkClueMan
2	163	CKHkSky
2	164	CKHkRocketRoman
2	167	CKHkJetPackRoman
2	171	CKHkWildBoar
2	172	CKHkAsterixShop
2	173	CKHkWater
2	176	CKHkMobileTower
2	177	CKHkBoss
2	179	CKHkInterfaceDemo
2	180	CKHkWaterFx
2	183	CKHkHighGrass
2	185	CKHkWaterFall
2	187	CKHkInterfaceGallery
2	190	CKHkTrioCatapult
2	191	CKHkObelixCatapult
2	192	CKHkInterfaceOpening
2	193	CKHkAsterixCheckpoint
2	194	CKHkBonusSpitter
2	195	CKHkLight
3	21	CKHkMachinegunLife
3	27	CKHkAsterixLife
3	55	CKHkBoatLife
3	57	CKHkObelixLife
3	59	CKHkMecaLife
3	66	CKHkIdefixLife
3	93	CKHkEnemyLife
3	95	CKHkTriangularTurtleLife
3	99	CKHkAnimatedCharacterLife
3	102	CKHkSquareTurtleLife
3	104	CKHkDonutTurtleLife
3	105	CKHkPyramidalTurtleLife
3	108	CKHkCatapultLife
3	112	CKHkSkyLife
3	115	CKHkWaterLife
3	118	CKHkBossLife
3	120	CKHkWaterFxLife
3	124	CKHkAsterixCheckpointLife
3	125	CKHkWaterFallLife
4	1	CKGroupRoot
4	10	CKGrpMachinegun
4	11	CKGrpMeca
4	12	CKGrpTrio
4	16	CKGrpBoat
4	18	CKGrpBaseSquad
4	24	CKGrpSquad
4	26	CKGrpSquadEnemy
4	39	CKGrpEnemy
4	41	CKGrpBaseSquadEnemy
4	44	CKGrpPoolSquad
4	45	CKGrpWalkingCharacter
4	48	CKGrpBonus
4	53	CKGrpFrontEnd
4	54	CKGrpCatapult
4	56	CKGrpMap
4	59	CKGrpStorageStd
4	60	CKGrpCrate
4	61	CKGrpBonusPool
4	63	CKGrpAsterixBonusPool
4	64	CKGrpSquadJetPack
4	66	CKGrpWildBoarPool
4	75	CKGrpAsterixCheckpoint
4	76	CKGrpBonusSpitter
4	77	CKGrpLight
5	6	CKGrpTrioLife
5	10	CKGrpMecaLife
5	19	CKGrpBonusLife
5	22	CKGrpMapLife
5	24	CKGrpEnemyLife
5	29	CKGrpAsterixCheckpointLife
6	2	CKGrpMecaCpntAsterix
6	5	CKCrateCpnt
6	6	CKEnemyCpnt
6	7	CKSquadEnemyCpnt
6	8	CKSeizableEnemyCpnt
6	9	CKSquadSeizableEnemyCpnt
6	10	CKBasicEnemyCpnt
6	11	CKBasicEnemyLeaderCpnt
6	12	CKJumpingRomanCpnt
6	17	CKRomanArcherCpnt
6	18	CKShadowCpnt
6	19	CKRocketRomanCpnt
6	22	CKBonusCpnt
6	23	CKJetPackRomanCpnt
6	25	CKWildBoarCpnt
6	26	CKMobileTowerCpnt
6	28	CKTriangularTurtleCpnt
6	29	CKSquareTurtleCpnt
6	30	CKDonutTurtleCpnt
6	31	CKPyramidalTurtleCpnt
7	1	CKCamera
7	2	CKCameraRigidTrack
7	3	CKCameraClassicTrack
7	4	CKCameraPathTrack
7	6	CKCameraFixTrack
7	7	CKCameraAxisTrack
7	8	CKCameraSpyTrack
7	10	CKCameraPassivePathTrack
8	1	CKLogicalAnd
8	2	CKLogicalOr
8	3	CKPlayAnimCinematicBloc
8	4	CKPathFindingCinematicBloc
8	5	CKFlaggedPathCinematicBloc
8	7	CKGroupBlocCinematicBloc
8	9	CKAttachObjectsCinematicBloc
8	10	CKStreamCinematicBloc
8	11	CKRandLogicalDoor
8	12	CKParticleCinematicBloc
8	13	CKStreamAloneCinematicBloc
8	14	CKStreamGroupBlocCinematicBloc
8	15	CKManageEventCinematicBloc
8	16	CKManagerEventStopCinematicBloc
8	17	CKStartDoor
8	20	CKSekensorCinematicBloc
8	22	CKDisplayPictureCinematicBloc
8	23	CKManageCameraCinematicBloc
8	25	CKStartEventCinematicBloc
8	26	CKSkyCinematicBloc
8	27	CKLightningCinematicBloc
8	28	CKPlaySoundCinematicBloc
9	1	CAnimationDictionary
9	2	CTextureDictionary
9	3	CKSoundDictionary
9	4	CKSoundDictionaryID
10	1	CParticleGeometry
10	2	CGeometry
10	3	CSkinGeometry
11	1	CSGRootNode
11	2	CSGSectorRoot
11	3	CNode
11	5	CSGMovable
11	6	CKDynBSphereProjectile
11	7	CKDynamicAABB
11	8	CSGLeaf
11	9	CSGBranch
11	11	CGlowNodeFx
11	12	CClone
11	14	CKBoundingSphere
11	15	CKDynamicBoundingSphere
11	17	CKAABB
11	18	CKOBB
11	19	CParticlesNodeFx
11	21	CAnimatedNode
11	22	CAnimatedClone
11	24	CKAACylinder
11	25	CSkyNodeFx
11	26	CFogBoxNodeFx
11	27	CTrailNodeFx
12	1	CKGameLoop
12	2	CKPFGraphTransition
12	3	CKBundle
12	4	CKSector
12	5	CKLevel
12	6	CKSavingManager
12	7	CKLoadingManager
12	8	CKCameraSector
12	9	CKCoreManager
12	11	CKSpline4
12	14	CCollisionMesh
12	15	CKChoreoKey
12	16	CKPFGraphNode
12	17	CKSas
12	18	CGround
12	19	CDynamicGround
12	20	CWall
12	21	CDynamicWall
12	23	CKFlaggedPath
12	24	CKMsgAction
12	25	CKOneMsgResponse
12	27	CKChoreography
12	30	CKLine
12	31	CKSpline4L
12	37	CKCinematicScene
12	42	CKCinematicSceneData
12	49	CDefaultGameManager
12	51	CKAsterixGameManager
12	58	CKAsterixSlideFP
12	59	CLocManager
12	61	CKSekens
12	64	CKCameraDirectorCut
12	66	CKMeshKluster
12	73	CKBeaconKluster
12	77	CKProjectileTypeScrap
12	79	CKProjectileTypeAsterixBomb
12	80	CKProjectileTypeBallisticPFX
12	87	CKFlashNode2dFx
12	89	CKElectricArcNodeFx
12	94	CKQuadNodeFx
12	97	CKDefaultPlayer
12	98	CKSpeechManager
12	100	CKAsterixPlayer
12	101	CKLightningObjectNodeFx
12	103	CKFilterNode2dFx
12	105	CKExplosionNodeFx
13	1	CRenderer
13	3	CCloneManager
13	5	CKIKChain
13	6	CKAnimatedChain
13	8	CAnimationManager
13	12	CColorTextButton2d
13	15	CBillboard2d
13	16	CManager2d
13	17	CMenuManager
13	19	CContainer2d
13	20	CScene2d
13	21	CMessageBox2d
13	22	CBillboardList2d
13	23	CText2d
13	25	CBillboardButton2d
14	1	CKGLError
14	2	CKCoreError
14	3	CKILError
14	4	CKSLError
