Cat	ID	Name
0	1	CKServiceManager
0	2	CKGraphic
0	3	CKSoundManager
0	4	CKInput
1	1	CKServiceLife
1	2	CKSrvCollision
1	3	CKSrvCamera
1	4	CKSrvCinematic
1	6	CKSrvPathFinding
1	9	CKSrvAvoidance
1	10	CKSrvSekensor
1	11	CKSrvBeacon
1	12	CKSrvShadow
1	13	CKSrvProjectiles
1	14	CKSrvFx
1	17	CKSrvCounter
1	18	CKSrvTrigger
1	19	CKSrvDetect
1	20	CKSrvMusic
2	9	CKHkShoppingArea
2	14	CKHkBonusSpitter
2	21	CKHkPressionStone
2	52	CKHkActivator
2	101	CKHkDoor
2	102	CKHkCrumblyZone
2	112	CKHkCrate
2	114	CKHkBasicBonus
2	158	CKHkTelepher
2	159	CKHkTelepherTowed
2	167	CKHkA2JetPackEnemy
2	208	CKHkMovableCharacter
2	218	CKHkA2Hero
2	220	CKHkLockMachineGun
2	227	CKHkA2PotionStone
2	228	CKHkA2Enemy
2	230	CKHkCrumblyZoneAnimated
2	231	CKHkDynamicObject
2	233	CKHkPlatform
2	234	CKHkWeatherCenter
2	235	CKHkEnemyTarget
2	236	CKHkEnemyTargetPit
2	237	CKHkWaterWork
2	238	CKHkSwitch
2	241	CKHkCounter
2	244	CKHkA2InvincibleEnemy
2	245	CKHkCorridorEnemy
2	246	CKHkTelepherAuto
2	247	CKHkA2ArcherEnemy
2	249	CKHkPushBomb
2	250	CKHkMovableBloc
2	251	CKHkParticlesSequencer
2	252	CKHkA2TurtleEnemy
2	253	CKHkCatapult
2	254	CKHkA2Boss
2	256	CKHkRollingBarrel
2	257	CKHkFoldawayBridge
2	258	CKHkBumper
2	259	CKHkToll
2	260	CKHkSlotMachine
2	261	CKHkA2BossTrap
2	262	CKHkCheckPoint
2	263	CKHkA2CrumblyZone
2	265	CKHkA2MarioEnemy
2	266	CKHkA2DeathFx
2	268	CKHkBonusHolder
4	1	CKGroupRoot
4	4	CKGrpA2Boss
4	11	CKGrpMeca
4	24	CKGrpSquad
4	44	CKGrpPoolSquad
4	60	CKGrpCrate
4	61	CKGrpBonusPool
4	86	CKGrpA2Hero
4	88	CKGrpA2LevelPotion
4	89	CKGrpLevelManager
4	91	CKGrpA2BonusPool
4	92	CKGrpBonus
4	94	CKGrpA2Enemy
4	95	CKGrpFightZone
4	98	CKGrpMecaLast
4	99	CKCommonBaseGroup
4	100	CKFightZoneSectorGrpRoot
4	103	CKGrpA2FoodBasket
6	1	CKCorridorEnemyCpnt
6	2	CKTargetCpnt
6	3	CKCrumblyZoneCpnt
6	4	CKCatapultCpnt
6	5	CKCrateCpnt
6	6	CKEnemyCpnt
6	18	CKShadowCpnt
6	22	CKBonusCpnt
6	35	CKPathFindingCpnt
6	36	CKA2EnemyCpnt
6	37	CKA2JetPackEnemyCpnt
6	39	CKWeatherPreset
6	41	CKA2PotionStoneCpnt
6	43	CKMecaCpnt
6	45	CKBonusSpitterCpnt
6	46	CKA2InvincibleEnemyCpnt
6	47	CKA2ArcherEnemyCpnt
6	48	CKPushBombCpnt
6	49	CKPushCpnt
6	50	CKParticlesSequencerCpnt
6	51	CKMovableBlocCpnt
6	52	CKA2TurtleEnemyCpnt
6	54	CKRollingBarrelCpnt
6	59	CKBumperCpnt
6	60	CKA2ComboTwisterData
6	61	CKA2ComboMenhirRainData
6	62	CKSMCpnt
6	63	CKA2ComboLightningData
6	64	CKA2MarioEnemyCpnt
6	65	CKTelepherTowedCpnt
6	66	CKBonusHolderCpnt
7	1	CKCamera
7	2	CKCameraRigidTrack
7	3	CKCameraClassicTrack
7	4	CKCameraPathTrack
7	6	CKCameraFixTrack
7	7	CKCameraAxisTrack
7	8	CKCameraSpyTrack
7	10	CKCameraPassivePathTrack
7	11	CKCameraBalistTrack
7	12	CKCameraClassicTrack2
7	15	CKCameraFirstPersonTrack
8	1	CKLogicalAnd
8	2	CKLogicalOr
8	3	CKPlayAnimCinematicBloc
8	4	CKPathFindingCinematicBloc
8	5	CKFlaggedPathCinematicBloc
8	7	CKGroupBlocCinematicBloc
8	9	CKAttachObjectsCinematicBloc
8	12	CKParticleCinematicBloc
8	17	CKStartDoor
8	20	CKSekensorCinematicBloc
8	22	CKDisplayPictureCinematicBloc
8	23	CKManageCameraCinematicBloc
8	25	CKStartEventCinematicBloc
8	27	CKLightningCinematicBloc
8	28	CKPlaySoundCinematicBloc
8	29	CKPauseCinematicBloc
8	30	CKTeleportCinematicBloc
8	31	CKEndDoor
8	34	CKPlayVideoCinematicBloc
8	35	CKFlashUICinematicBloc
9	1	CAnimationDictionary
9	2	CTextureDictionary
9	3	CKSoundDictionary
9	4	CKSoundDictionaryID
10	1	CParticleGeometry
10	2	CGeometry
10	3	CSkinGeometry
11	1	CSGRootNode
11	2	CSGSectorRoot
11	3	CNode
11	5	CSGMovable
11	6	CKDynBSphereProjectile
11	7	CKDynamicAABB
11	8	CSGLeaf
11	9	CSGBranch
11	11	CGlowNodeFx
11	12	CClone
11	14	CKBoundingSphere
11	15	CKDynamicBoundingSphere
11	17	CKAABB
11	18	CKOBB
11	19	CParticlesNodeFx
11	21	CAnimatedNode
11	22	CAnimatedClone
11	24	CKAACylinder
11	26	CFogBoxNodeFx
11	27	CTrailNodeFx
11	32	CSGLight
11	33	CCloudsNodeFx
11	34	CZoneNode
11	35	CSpawnNode
11	36	CSpawnAnimatedNode
12	1	CKGameLoop
12	2	CKPFGraphTransition
12	3	CKBundle
12	4	CKSector
12	5	CKLevel
12	6	CKSavingManager
12	7	CKLoadingManager
12	8	CKCameraSector
12	9	CKCoreManager
12	10	CKBlurFxData
12	11	CKSpline4
12	12	CKBlurNodeFx
12	14	CCollisionMesh
12	15	CKChoreoKey
12	16	CKPFGraphNode
12	17	CKSas
12	18	CGround
12	19	CDynamicGround
12	20	CWall
12	21	CDynamicWall
12	23	CKFlaggedPath
12	27	CKChoreography
12	30	CKLine
12	31	CKSpline4L
12	37	CKCinematicScene
12	38	CKA2ShoppingArea
12	39	CKA2FlashInGameBoss
12	41	CLightComponent
12	42	CKCinematicSceneData
12	51	CKVibrationData
12	59	CLocManager
12	60	CKHDRFxData
12	61	CKSekens
12	62	CKHDRNodeFx
12	65	CKScreenColorFxData
12	66	CKMeshKluster
12	67	CKScreenColorNodeFx
12	68	CColorizedScreenData
12	73	CKBeaconKluster
12	77	CKProjectileTypeScrap
12	80	CKProjectileTypeBallisticPFX
12	87	CKFlashNode2dFx
12	89	CKElectricArcNodeFx
12	92	CKFlashFxData
12	93	CKElectricArcFxData
12	94	CKQuadNodeFx
12	95	CKQuadFxData
12	97	CKDefaultPlayer
12	98	CKSpeechManager
12	101	CKLightningObjectNodeFx
12	102	CKLightningObjectFxData
12	103	CKFilterNode2dFx
12	104	CKFilterFxData
12	105	CKExplosionNodeFx
12	106	CKExplosionFxData
12	135	CKTimeCounter
12	136	CKIntegerCounter
12	139	CKCombiner
12	140	CKComparator
12	141	CKComparedData
12	142	CKTrigger
12	146	CKProjectileTypeTargetLock
12	156	CKDetectorBase
12	157	CKSectorDetector
12	158	CMultiGeometry
12	160	CKDetectorEvent
12	161	CKDetectedMovable
12	163	CKTriggerDomain
12	166	CKA2Player
12	167	CKA2GameManager
12	171	CKSound
12	173	CSGHotSpot
12	175	CMaterial
12	177	CKHedgeHopTrailNodeFx
12	181	CKHedgeHopTrailFxData
12	183	CKFlashStartEventEvent
12	184	CKBomb
12	185	CKFlashPlaySoundEvent
12	187	CKMusicPlayList
12	188	CKSandal
12	189	CKDetectorMusic
12	192	CKHkMoveCpnt
12	195	CKShockWaveNodeFx
12	196	CKShockWaveFxData
12	197	CMultiGeometryBasic
12	198	CKGameSpawnPoint
12	199	CKA2SpawnPoint
12	202	CKGameStage
12	203	CKGameState
12	205	CKGameModule
12	206	CKFireBallFxData
12	207	CKFireBallNodeFx
12	214	CKMarkerBeacon
12	215	CKA2BossGrid
12	216	CKA2BossCell
12	217	CKCameraQuakeDatas
12	218	CKA2BossSequence
12	219	CKA2FlashInterface
12	221	CKA2GameStructure
12	222	CKA2GameState
12	223	CKA2GameStage
12	224	CKA2FlashMenuOutGame
12	225	CKA2FlashInGame
12	226	CKA2FlashMenuInGame
12	227	CKDistortionNodeFx
12	228	CKA2GameModule
12	229	CKDistortionFxData
12	231	CKA2Video
12	232	CKA2DiamondHelmet
12	238	CKWaterWaveFxData
12	239	CKWaterWaveNodeFx
12	240	CKWaterSplashFxData
12	241	CKWaterSplashNodeFx
12	242	CKPowerBallFxData
12	243	CKPowerBallNodeFx
12	244	CKExtendedMarkerBeacon
12	248	CKNumber
13	1	CRenderer
13	3	CCloneManager
13	5	CKIKChain
13	6	CKAnimatedChain
13	8	CAnimationManager
13	10	CBlurData
13	12	CColorTextButton2d
13	13	CKPBuffer
13	14	CPostRenderingFx
13	15	CBillboard2d
13	16	CManager2d
13	17	CMenuManager
13	19	CContainer2d
13	20	CScene2d
13	21	CHDRData
13	22	CBillboardList2d
13	23	CText2d
13	24	CKSpawnPoolParams
13	25	CBillboardButton2d
13	26	CBackgroundManager
13	27	CKFlashUI
13	28	CKFlashManager
13	30	CKFlashAnimation
13	31	CKFlashText
13	33	CKFlashMessageIn
13	34	CKFlashMessageOut
13	36	CLightManager
13	37	CLightSet
13	39	CVideoManager
13	41	WIN32_CKVideo
13	46	CSpawnManager
13	47	CKSpawnPool
13	48	CFlashHotSpot
13	49	CDistortionScreenFx
13	50	CDistortionScreenData
